CBO2002;TITULO;trad;Job_Zone;code;prox;title
314715;Assistente técnico de fundição em siderurgia;Cast iron technical assistant;4;43-9111.00;0.6274509803921569;Statistical Assistants
314710;Técnico de controle de lingoteira;Technician of control of ingot;;;;
316110;Técnico de pesquisa mineral;Mineral Research Technician;3;25-4031.00;0.6521739130434783;Library Technicians
316110;Técnico de mineração (pesquisa geológica);Mining Technician (geological survey);;;;
316110;Técnico de metalografia e petrografia;Metallography and petrography technician;;;;
316305;Técnico de mineração (tóriom zircônio e outros minerais raros);Mining technician (zirconium and other rare minerals);;;;
316310;Técnico em exploração de petróleo;Oil exploration technician;3;17-3022.00;0.6181818181818182;Civil Engineering Technicians
316310;Técnico em exploração de petróleo;Oil exploration technician;2;51-9081.00;0.6181818181818182;Dental Laboratory Technicians
316310;Técnico em exploração de petróleo;Oil exploration technician;3;51-9082.00;0.6181818181818182;Medical Appliance Technicians
316310;Técnico de produção na extração de petróleo;Production technician in oil extraction;;;;
316310;Técnico na extração de petróleo e gás natural;Technician in the extraction of oil and natural gas;;;;
316315;Técnico especializado em produção mineral;Specialist in mineral production;;;;
316315;Técnico de processos minerais;Technician of mineral processes;;;;
316320;Prospector;Prospector;3;33-2021.01;0.64;Fire Inspectors
316325;Técnico de processamento em refino de petróleo e gás;Processing Technician in Oil and Gas Refining;;;;
316325;Técnico em processamento mineral;Mineral Processing Technician;2;51-8099.01;0.8333333333333334;Biofuels Processing Technicians
316325;Técnico de operação em refino de petróleo e gás;Oil and gas refinery operation technician;3;17-3022.00;0.6285714285714286;Civil Engineering Technicians
316335;Desincrustador de poços de petróleo e gás;Oil and gas well degreaser;;;;
316305;Técnico de recursos minerais;Mineral resources technician;;;;
316305;Técnico de mineração (águas subterrâneas);Mining Technician (groundwater);;;;
316305;Técnico de mineração (minerais sólidos);Mining Technician (Solid Minerals);3;17-3031.02;0.6037735849056604;Mapping Technicians
316305;Técnico de perfuração (minas);Drilling Technician (mines);3;17-3031.01;0.6666666666666666;Surveying Technicians
317120;Programador de cd-rom;Cd-rom programmer;4;15-1131.00;0.7027027027027027;Computer Programmers
317120;Programador de aplicativos educacionais e de entretenimento;Educational and entertainment application programmer;;;;
317210;Monitorador de sistemas e suporte ao usuário;System Monitor and User Support;;;;
318015;Detalhista em desenho técnico;Detail in technical drawing;;;;
318015;Desenhista técnico detalhista;Technical Specialist;3;39-5094.00;0.7;Skincare Specialists
318010;Operador de cad (copista);CAD operator (copyist);;;;
318010;Desenhista copista  (cad);Copywriter (cad);4;27-3043.04;0.6428571428571429;Copy Writers
318005;Desenhista técnico auxiliar;Assistant Technical Designer;;;;
318010;Copista de croqui;Skeleton Copywriter;;;;
318015;Desenhista detalhista (cad);Detail designer (cad);;;;
318115;Desenhista técnico de engenharia civil;Civil Engineering Technical Designer;3;17-3022.00;0.8307692307692308;Civil Engineering Technicians
318110;Desenhista de cartografia;Production Designer;3;27-1022.00;0.6666666666666666;Fashion Designers
318110;Desenhista técnico de topografia;Technical designer of topography;;;;
318105;Desenhista copista (arquitetura);Copywriter (architecture);;;;
318105;Cadista (desenhista técnico de arquitetura);Cadista (Technical Architectural Designer);;;;
318105;Desenhista de arquitetura;Architectural designer;4;17-3011.01;0.7272727272727273;Architectural Drafters
318115;Desenhista de estrutura metálica (construção civil);Design of metal structure (civil construction);;;;
318120;Desenhista de instalações de combate a incêndio;Design of firefighting facilities;;;;
318120;Desenhista de instalações hidráulicas;Mechanical Engineer;4;17-2141.00;0.9743589743589743;Mechanical Engineers
318120;Desenhista técnico de hidráulica;Mechanical Engineer;4;17-2141.00;0.9743589743589743;Mechanical Engineers
318205;Desenhista de carrocerias;Automotive mechanic;3;49-3023.01;0.782608695652174;Automotive Master Mechanics
318205;Desenhista mecânico;Mechanical Designer;4;17-2141.00;0.7692307692307693;Mechanical Engineers
318205;Desenhista de tubulação (mecânica);Pipe Designer (Mechanical);;;;
318205;Desenhista de ferramentas (mecânica);Toolmaker (mechanical);;;;
318210;Desenhista técnico de aeronaves;Aircraft technical designer;;;;
318205;Desenhista de instalações mecânicas;Mechanical Design Engineer;4;17-2141.00;0.8260869565217391;Mechanical Engineers
318205;Desenhista de estruturas metálicas (mecânica);Design of metal structures (mechanical);;;;
318205;Desenhista técnico de tubulação;Technical Pipe Designer;4;27-3042.00;0.65;Technical Writers
318205;Desenhista técnico de máquinas;Mechanical engineer;4;17-2141.00;0.9230769230769231;Mechanical Engineers
318205;Desenhista técnico de ferramentas;Technical Design Engineer;4;17-2141.00;0.7555555555555555;Mechanical Engineers
318305;Desenhista de leiaute de circuito impresso;Designer of printed circuit layout;;;;
318305;Desenhista técnico em eletroeletrônica;Technical designer in electronics;;;;
318305;Desenhista técnico em eletricidade;Electrical Designer;4;17-2071.00;0.7692307692307693;Electrical Engineers
318310;Desenhista técnico em ventilação;Technical Architect;4;27-3042.00;0.7777777777777778;Technical Writers
318310;Desenhista técnico em calefação;Technical design engineer;4;17-2141.00;0.7111111111111111;Mechanical Engineers
318310;Desenhista técnico em refrigeração;Mechanical Design Engineer;4;17-2141.00;0.8260869565217391;Mechanical Engineers
318305;Desenhista técnico eletromecânica;Mechanical Engineer;4;17-2141.00;0.9743589743589743;Mechanical Engineers
318305;Desenhista técnico em eletrônica;Technical designer in electronics;;;;
318430;Desenhista de embalagens;Packaging designer;3;27-1022.00;0.6285714285714286;Fashion Designers
318420;Desenhista de fotoestamparia;Graphic designer;4;27-1024.00;0.9090909090909091;Graphic Designers
318420;Desenhista têxtil;Textile designer;;;;
318415;Desenhista letrista;Literary designer;4;27-1025.00;0.6857142857142857;Interior Designers
318410;Desenhista de filatelia  (selos);Philatelic designer (stamps);;;;
318405;Arte-finalista (desenhista técnico de artes gráficas);Art-finalist (technical graphic arts designer);;;;
318410;Desenhista de desenho animado;Cartoonist;5;29-1023.00;0.6956521739130435;Orthodontists
318425;Desenhista de móveis;Furniture designer;2;51-7021.00;0.7027027027027027;Furniture Finishers
318430;Desenhista de leiautes;Layout designer;3;27-1022.00;0.625;Fashion Designers
318405;Desenhista  técnico de arte-final;Technical designer of final art;;;;
318430;Desenhista maquetista;Mechanical Engineer;4;17-2141.00;0.9743589743589743;Mechanical Engineers
318510;Projetista na construção civil;Civil Engineer;4;17-2051.00;0.9655172413793104;Civil Engineers
318510;Auxiliar de engenheiro da construção civil;Civil Engineer;4;17-2051.00;0.9655172413793104;Civil Engineers
318510;Desenhista detalhista na construção civil;Detail construction designer;2;47-2031.01;0.6274509803921569;Construction Carpenters
318510;Desenhista calculista na construção civil;Civil Engineer;4;17-2051.00;0.9655172413793104;Civil Engineers
318610;Desenhista projetista de moldes;Project Manager;4;11-9199.10;0.6976744186046512;Wind Energy Project Managers
318610;Projetista de moldes;Mold Designer;2;27-1023.00;0.7586206896551724;Floral Designers
318610;Projetista de matrizes;Matrix designer;4;27-1025.00;0.6666666666666666;Interior Designers
318610;Desenhista projetista de ferramentas;Design Engineer;4;41-9031.00;0.7333333333333333;Sales Engineers
318610;Desenhista projetista de produtos (mecânica);Product designer (mechanic);;;;
318610;Projetista de ferramentas;Toolmaker;3;47-2011.00;0.6666666666666666;Boilermakers
318705;Desenhista projetista eletroeletrônico;Electrical Design Engineer;4;17-2071.00;0.8260869565217391;Electrical Engineers
318705;Projetista de instalações elétricas;Electrical design engineer;4;17-2071.00;0.782608695652174;Electrical Engineers
318710;Desenhista projetista de circuitos impressos;Design designer of printed circuits;;;;
318710;Leiautista de circuitos impressos;Printed Circuit Board;;;;
318705;Projetista de instrumentos elétricos;Electrical Instrument Designer;4;17-2071.00;0.64;Electrical Engineers
318705;Projetista eletrotécnico;Electrical Designer;4;17-2071.00;0.7692307692307693;Electrical Engineers
318705;Projetista de eletricidade;Electrical Designer;4;17-2071.00;0.7692307692307693;Electrical Engineers
318705;Projetista eletroeletrônico;Electrical / Electronic Manufacturing;2;51-2022.00;0.6265060240963856;Electrical and Electronic Equipment Assemblers
318810;Moldador de roupas;Clothes shaper;;;;
319205;Técnico em móveis e esquadrias;Technician in furniture and frames;;;;
319205;Técnico moveleiro;Furniture Technician;2;29-2051.00;0.7;Dietetic Technicians
319205;Técnico em móveis (fabricação);Furniture Technician (manufacturing);;;;
319205;Técnico em madeira e mobiliário;Wood and furniture technician;3;19-4011.02;0.6037735849056604;Food Science Technicians
320105;Técnico de biotério;Biotério technician;4;19-4021.00;0.6829268292682927;Biological Technicians
320105;Técnico em criação de animais de laboratório;Laboratory technician;3;25-4031.00;0.8;Library Technicians
320105;Técnico em criação de animais de laboratório;Laboratory technician;2;51-9081.00;0.8;Dental Laboratory Technicians
321315;Técnico em mexilhões;Mussel Technician;3;19-4031.00;0.7027027027027027;Chemical Technicians
321315;Técnico em ostras;Oyster technician;2;49-9099.01;0.6666666666666666;Geothermal Technicians
321315;Técnico em moluscos;Mussel technician;3;19-4031.00;0.6486486486486487;Chemical Technicians
321315;Técnico em malococultura;Technician in malococultura;;;;
322130;Tecnólogo em estética corporal, facial e capilar;Technologist in body, facial and capillary aesthetics;;;;
322130;Tecnólogo em estética;Technologist in aesthetics;;;;
322125;Naturopata;Naturopath;5;29-1199.04;0.6060606060606061;Naturopathic Physicians
322125;Homeopata (não médico);Homeopath (non-physician);;;;
322125;Terapeuta naturalista;Naturalist therapist;5;29-1125.01;0.6470588235294118;Art Therapists
322120;Massagista;Masseur;;;;
322120;Massoprevencionista;Mass-protectionist;;;;
322130;Tecnólogo em cosmetologia e estética;Cosmetology and aesthetics technologist;4;29-2011.01;0.65625;Cytogenetic Technologists
322130;Tecnólogo em cosmetologia e estética facial e corporal;Technologist in cosmetology and facial and body aesthetics;;;;
322130;Tecnólogo em estética e cosmética;Technologist in aesthetics and cosmetics;;;;
322130;Esteticista corporal;Body beautician;;;;
322130;Esteticista facial;Facial Beautician;;;;
322130;Técnico em estética;Aesthetic Technician;2;29-2051.00;0.85;Dietetic Technicians
322125;Terapeuta alternativo;Alternative therapist;4;29-1125.00;0.6363636363636364;Recreational Therapists
322240;Auxiliar de saúde marítimo;Maritime health aide;2;31-1011.00;0.6486486486486487;Home Health Aides
322305;Óptico protesista;Optician prosthetist;5;29-2091.00;0.6808510638297872;Orthotists and Prosthetists
322305;Técnico optometrista;Optometrist technician;3;17-3029.08;0.6511627906976745;Photonics Technicians
322305;Óptico contatólogo;Optical contatologist;3;29-2055.00;0.6511627906976745;Surgical Technologists
322305;Óptico oftálmico;Ophthalmic optic;5;29-1069.06;0.625;Ophthalmologists
322305;Óptico optometrista;Optometrist optics;5;29-1041.00;0.8;Optometrists
322305;Contatólogo;Contatólogo;;;;
322415;Atendente de serviço odontológico;Dental care attendant;2;39-4021.00;0.6153846153846154;Funeral Attendants
322415;Atendente odontológico;Dental attendant;2;39-4021.00;0.7058823529411765;Funeral Attendants
322415;Atendente de gabinete dentário;Dental Office Clerk;2;43-5051.00;0.65;Postal Service Clerks
322415;Atendente de clínica dentária;Dental Clinic Clerk;;;;
322415;Auxiliar de dentista;Dental Assistant;3;31-9091.00;0.9696969696969697;Dental Assistants
322605;Técnico gessista;técnico gessista;;;;
322605;Técnico em imobilizações do aparelho locomotor;Technician in immobilization of the musculoskeletal system;;;;
322605;Técnico em aparelho gessado;Casting Technician;3;17-3031.02;0.8108108108108109;Mapping Technicians
322605;Técnico engessador;Technical plasterer;4;27-3042.00;0.7222222222222222;Technical Writers
322605;Técnico em gesso hospitalar;Hospital plaster technician;4;19-4041.01;0.6545454545454545;Geophysical Data Technicians
322605;Técnico em gesso ortopédico;Orthopedic plaster technician;3;27-4012.00;0.68;Broadcast Technicians
322605;Técnico em imobilizações gessadas;Castings;1;41-2011.00;0.625;Cashiers
324125;Tecnólogo em oftalmologia;Technologist in ophthalmology;;;;
324130;Técnico em prova de função pulmonar;Pulmonary function test technician;;;;
324220;Técnico em banco de sangue;Blood bank technician;3;19-4011.02;0.6666666666666666;Food Science Technicians
325010;Flavorista;Flavorista;1;35-3022.01;0.6666666666666666;Baristas
325005;Tecnólogo em enologia;Technologist in oenology;;;;
325015;Criadores de perfumes;Perfume creators;4;27-2012.03;0.6060606060606061;Program Directors
325010;Técnico em aromas;Flavor technician;3;25-4031.00;0.6666666666666666;Library Technicians
325005;Tecnólogo em viticultura e enologia;Technologist in viticulture and enology;;;;
325005;Técnico em enologia;Technician in oenology;;;;
325005;Enotécnico;Enotecnico;;;;
325110;Manipulador em laboratório de farmácia;Manipulator in pharmacy laboratory;;;;
325105;Auxiliar técnico de manipulação em laboratório de farmácia;Technical assistant handling in pharmacy laboratory;;;;
325205;Técnico de controle de qualidade de alimentos;Food Quality Control Technician;3;19-4011.02;0.6545454545454545;Food Science Technicians
325205;Técnico de controle de qualidade de alimentos;Food Quality Control Technician;3;19-4099.01;0.6545454545454545;Quality Control Analysts
325205;Técnico de frutas e hortaliças;Fruit and vegetable technician;3;19-4093.00;0.6153846153846154;Forest and Conservation Technicians
325205;Técnico de produção de alimentos;Food Production Technician;3;19-4011.02;0.76;Food Science Technicians
325205;Técnico de grãos e cereais;Grain and cereals technician;4;17-3021.00;0.6052631578947368;Aerospace Engineering and Operations Technicians
325205;Técnico de panificação;Baking Technician;3;17-3031.02;0.8333333333333334;Mapping Technicians
325205;Técnico em açúcar e álcool;Sugar and alcohol technician;;;;
325205;Técnico em química de alimentos;Food Chemist;4;19-2031.00;0.7;Chemists
325210;Técnico em nutrição;Nutrition Technician;3;17-3031.01;0.7317073170731707;Surveying Technicians
325205;Técnico de laticínios;Dairy technician;3;25-4031.00;0.7428571428571429;Library Technicians
325205;Técnico de carnes e derivados;Meat and Dairy Technician;3;19-4093.00;0.6666666666666666;Forest and Conservation Technicians
325205;Técnico de bebidas;Beverage technician;2;49-9099.01;0.6829268292682927;Geothermal Technicians
325205;Técnico de massas alimentícias;Pasta technician;3;29-2052.00;0.7222222222222222;Pharmacy Technicians
325205;Técnico de pescado e derivados;Fish and Derivatives Technician;3;19-4093.00;0.7272727272727273;Forest and Conservation Technicians
331105;Educador infantil de nível médio;Mid-level child educator;;;;
331105;Professor de pré-escola;Preschool teacher;;;;
331105;Professor de jardim da infância;Kindergarten Teacher;;;;
331110;Crecheira;Creche;;;;
331110;Auxiliar de creche;Day Care Assistant;3;31-9091.00;0.6857142857142857;Dental Assistants
331110;Atendente de creche;Day care attendant;;;;
331105;Professor de escolinha (maternal);School teacher (maternal);;;;
331105;Professor de maternal;Professor de maternal;;;;
331205;Professor de ensino fundamental nas quatro primeiras séries;Elementary school teacher in the first four grades;;;;
331205;Professor de ensino fundamental de primeira a quarta séries;Elementary school teacher from first to fourth grade;;;;
331205;Professor de ensino fundamental - séries iniciais;Elementary school teacher - early grades;4;25-2021.00;0.6521739130434783;Elementary School Teachers, Except Special Education
331205;Professor i - ensino fundamental;Teacher i - elementary school;;;;
331305;Monitor de nível médio no ensino profissionalizante;Middle level monitor in vocational education;;;;
331305;Docente de nível médio no ensino profissionalizante;High school teacher in vocational education;;;;
331305;Instrutor de nível médio no ensino profissionalizante;High school instructor in vocational education;;;;
332105;Professor indigenista bilingüe;Bilingual indigenist teacher;;;;
332105;Professor leigo em classe multisseriada;Lay teacher in multi-serialized class;;;;
332105;Professor não habilitado no ensino fundamental;Teacher not qualified in elementary school;;;;
332105;Professor sem formação para o magistério;Teacher without training for teaching;;;;
332105;Professor leigo responsável por escolas rurais;Lay teacher responsible for rural schools;;;;
332105;Professor leigo em regência de classe;Lay teacher in class regency;;;;
332105;Professor assistente de regência de classe;Assistant Professor of Class Regency;;;;
332205;Instrutor no ensino profissionalizante;Instructor in vocational education;;;;
333110;Instrutor de equitação para equoterapia;Equine Therapy Riding Instructor;;;;
334110;Inspetor de alunos;Student inspector;3;33-2021.01;0.625;Fire Inspectors
334110;Auxiliar técnico de educação;Technical education assistant;3;31-2021.00;0.6206896551724138;Physical Therapist Assistants
334110;Agente de organização escolar;School Organization Agent;;;;
334110;Monitor de alunos;Student Monitor;;;;
334110;Bedel;Price;;;;
334110;Inspetor de disciplina;Discipline Inspector;3;33-2021.01;0.6857142857142857;Fire Inspectors
334110;Agente educador;Educating agent;;;;
341250;Auxiliar de faroleiro;Auxiliar de faroleiro;;;;
341240;Manobras e reparos;Maneuvers and repairs;1;45-3021.00;0.6341463414634146;Hunters and Trappers
341235;Faroleiro (meio militar);Faroleiro (military medium);;;;
341210;Mestre de pequena cabotagem;Small captain;;;;
341210;Capitão de pequena cabotagem;Captain of small cabotage;;;;
341245;Sinaleiro naval;Naval signpost;;;;
341235;Agente de atuidade marítima e fluvial;Maritime and fluvial agent;;;;
342105;Transitário de cargas;Transitário de cargas;;;;
342125;Analista de logística de transporte;Transportation logistics analyst;4;11-3071.01;0.6909090909090909;Transportation Managers
342125;Analista de logística de transporte;Transportation logistics analyst;4;19-3099.01;0.6909090909090909;Transportation Planners
342125;Assistente de logística de transporte;Transport logistics assistant;5;29-1071.01;0.6428571428571429;Anesthesiologist Assistants
342105;Auxiliar de exportação e importação;Export and import help;;;;
342105;Agente de comércio exterior;Foreign trade agent;;;;
342110;Analista de transporte multimodal;Multimodal transport analyst;;;;
342110;Programador de transporte multimodal;Multimodal transport programmer;;;;
342110;Técnico de operação de transporte;Transportation Operation Technician;3;19-4093.00;0.6571428571428571;Forest and Conservation Technicians
342115;Técnico de operações de serviços de máquinas e veículos;Machine and vehicle service operations technician;2;49-3092.00;0.6067415730337079;Recreational Vehicle Service Technicians
342115;Supervisor operacional dos serviços de máquinas e veículos;Operational Supervisor of Machinery and Vehicle Services;;;;
342215;Assistente de desembaraço aduaneiro;Customs Clearance Assistant;;;;
342310;Chefe de garagem (transporte rodoviário);Head of garage (road transport);;;;
342310;Controlador de serviço de transporte rodoviário;Road Transport Controller;3;53-2021.00;0.625;Air Traffic Controllers
342310;Inspetor de carregadoria de embarque rodoviário;Inspector of cargo shipment by road;;;;
342310;Inspetor de tráfego rodoviário;Road Traffic Inspector;;;;
342310;Inspetor de carga e descarga;Inspector of loading and unloading;;;;
342315;Chefe de carga e descarga no transporte rodoviário;Head of loading and unloading in road transport;;;;
342315;Chefe de armazém (técnicos em transportes rodoviários);Head of warehouse (road transport technicians);;;;
342315;Chefe de depósito;Head of deposit;;;;
342315;Encarregado de carga e descarga no transporte rodoviário;Loading and unloading in road transport;;;;
342305;Chefe de transportes - exclusive no serviço público;Head of transport - exclusive in the public service;;;;
342305;Gerente de frota (transporte rodoviário);Fleet manager (road transport);;;;
342305;Programador de transporte rodoviário;Road Transport Programmer;;;;
342305;Chefe de transporte - no serviço público;Head of transport - in the public service;;;;
342305;Encarregado de linha de transporte rodoviário;Trucking operator;2;53-7031.00;0.6060606060606061;Dredge Operators
342305;Encarregado de tráfego rodoviário;In charge of road traffic;;;;
342305;Supervisor de tráfego rodoviário;Road Traffic Supervisor;2;39-1011.00;0.6341463414634146;Gaming Supervisors
342305;Coordenador de tráfego rodoviário;Road Traffic Coordinator;2;53-1021.01;0.6086956521739131;Recycling Coordinators
342305;Chefe de departamento de motoristas;Head of department of drivers;;;;
342305;Gerente de tráfego rodoviário;Road Traffic Manager;2;11-9051.00;0.6829268292682927;Food Service Managers
342305;Assistente de tráfego rodoviário;Road Traffic Assistant;3;31-9092.00;0.65;Medical Assistants
342305;Chefe de serviço de transporte rodoviário;Head of road transport service;;;;
342310;Agente rodoviário;Road agent;;;;
342310;Inspetor de transporte rodoviário;Road Transport Inspector;;;;
342310;Instrutor de motoristas;Driver's Instructor;;;;
342410;Operador de programação (ferrovia);Programming operator (railroad);;;;
342410;Controlador de centro de controle operacional;Operational Control Center Controller;;;;
342410;Supervisor de centro de controle (ferrovia e metrô);Control center supervisor (railroad and subway);;;;
342410;Controlador de tráfego;Traffic Controller;3;53-2021.00;0.8780487804878049;Air Traffic Controllers
342410;Controlador de centro de controle operacional (metrô e ferrovia);Operator control center controller (subway and railroad);;;;
342535;Atendente de aeroporto;Airport attendant;3;53-2031.00;0.6470588235294118;Flight Attendants
342505;Operador de torre de controle (aéreo);Control tower operator (aerial);;;;
342505;Profissional de tráfego aéreo;Air traffic professional;3;53-2021.00;0.6382978723404256;Air Traffic Controllers
342505;Controlador de vôo;Flight controller;;;;
342605;Agente de estação portuária;Port station agent;;;;
342610;Encarregado de operações portuárias;In charge of port operations;;;;
342610;Coordenador de operações portuárias;Port Operations Coordinator;5;25-9031.00;0.6415094339622641;Instructional Coordinators
342610;Chefe de operações portuárias;Head of port operations;;;;
351305;Chefe de recurso de glosa de contas de convênios (administração de hospital);Chief of claims account glossary (hospital administration);;;;
351305;Chefe de recurso de glosas de contas nos hostpitais (administração de convênios e fonte pagadora);Head of accounts glossary in the host cities (administration of covenants and source of payment);;;;
351405;Oficial maior;Larger officer;3;13-2072.00;0.6666666666666666;Loan Officers
351410;Escrivão civil;Civil Registrar;3;17-3011.02;0.6206896551724138;Civil Drafters
351410;Escrivão criminal;Criminal clerk;;;;
351410;Avaliador judicial (escrivão);Judicial appraiser (clerk);5;23-1012.00;0.6666666666666666;Judicial Law Clerks
351430;Auxiliar jurídico;Legal assistant;3;31-9091.00;0.75;Dental Assistants
351410;Distribuidor público;Public distributor;;;;
351410;Partidor judicial;Judicial partitioner;5;23-1012.00;0.6153846153846154;Judicial Law Clerks
351415;Escrivão de cartório;Notary's Office;3;13-2072.00;0.6428571428571429;Loan Officers
351415;Oficial de registro;Registration officer;4;39-9032.00;0.631578947368421;Recreation Workers
351415;Tabelião da justiça;Notary of justice;;;;
351415;Tabelião substituto;Substitute Notary;;;;
351405;Escrevente extra - judicial;Extra-judicial clerk;5;23-1012.00;0.6153846153846154;Judicial Law Clerks
351405;Escrevente judicial;Judicial clerk;5;23-1012.00;0.7878787878787878;Judicial Law Clerks
351410;Depositário público;Public depositary;;;;
351510;Taquígrafo parlamentar;Parliamentary stenographer;;;;
351510;Taquígrafo em línguas estrangeiras;Stenographer in foreign languages;;;;
351510;Taquígrafo revisor;Reviewing stenographer;;;;
351510;Estenógrafo;Stenographer;5;19-3092.00;0.782608695652174;Geographers
351510;Taquígrafo judiciário;Judicial tachygrapher;;;;
351605;Supervisor de segurança do trabalho;Work Safety Supervisor;2;39-1012.00;0.6842105263157895;Slot Supervisors
351605;Técnico em meio ambiente, segurança e saúde;Environmental, safety and health technician;4;17-3025.00;0.625;Environmental Engineering Technicians
351605;Técnico em segurança industrial;Industrial Safety Technician;3;17-3026.00;0.7419354838709677;Industrial Engineering Technicians
351805;Agente de investigação privada;Private Investigation Agent;3;33-2021.02;0.6222222222222222;Fire Investigators
351805;Detetive particular;Private detective;3;33-3021.01;0.7058823529411765;Police Detectives
351805;Investigador particular;Private investigator;3;33-2021.02;0.7368421052631579;Fire Investigators
351810;Detetive de polícia;Police detective;3;33-3021.01;0.9090909090909091;Police Detectives
351810;Inspetor de polícia;Police inspector;3;33-2021.01;0.7096774193548387;Fire Inspectors
351815;Perito em identificação;Identification expert;;;;
351810;Comissário de polícia;Police commissioner;;;;
351815;Datiloscopista;Datiloscopista;;;;
351815;Técnico de identificação (papiloscopista);Identification Technician (papiliocopist);;;;
351815;Perito papiloscopista;Papyroscopist expert;;;;
351810;Agente policial;Police officer;3;33-3051.01;0.7777777777777778;Police Patrol Officers
351910;Técnico de suporte à inteligência (grupo apoio);Intelligence Support Technician (support group);;;;
351910;Técnico em inteligência (grupo informações);Intelligence Technician (information group);;;;
352210;Inspetor de saneamento;Sanitation inspector;3;53-6051.01;0.7692307692307693;Aviation Inspectors
352210;Inspetor de comercialização de produtos;Product Marketing Inspector;3;53-6051.01;0.6086956521739131;Aviation Inspectors
352210;Agente sanitarista;Sanitary agent;;;;
352210;Fiscal de higiene;Hygiene attorney;;;;
352210;Agente de saneamento;Sanitation agent;4;11-3071.01;0.6153846153846154;Transportation Managers
352210;Fiscal de obras;Building inspector;3;53-6051.01;0.6486486486486487;Aviation Inspectors
352320;Fiscal têxtil;Textile tax;;;;
353230;Tesoureiro;Treasurer;3;13-2082.00;0.6363636363636364;Tax Preparers
354135;Representante técnico de vendas;Technical sales representative;4;43-4051.03;0.6037735849056604;Patient Representatives
354150;Consultor de produtos farmacêuticos;Pharmaceutical Consultant;;;;
354150;Representante de produtos farmacêuticos;Pharmaceutical Representative;4;43-4051.03;0.7307692307692307;Patient Representatives
354205;Arrematador, no comércio;Auctioneer, in trade;;;;
354415;Avaliador de automóveis;Car appraiser;;;;
354415;Avaliador de bens;Property appraiser;;;;
354415;Avaliador de jóias;Jewelry Appraiser;;;;
354415;Avaliador judicial;Judicial appraiser;5;23-1012.00;0.6486486486486487;Judicial Law Clerks
354415;Perito avaliador de bens móveis;Expert evaluator of movable property;;;;
354415;Avaliador de artes e antiguidades;Art and antiques assessor;;;;
354405;Preposto de leiloeiro;Auctioneer preposto;;;;
354405;Pregoeiro;Pregoeiro;;;;
354605;Consultor imobiliário;Real estate consultant;4;41-9021.00;0.6341463414634146;Real Estate Brokers
354605;Assessor imobiliário;Real Estate Advisor;4;41-9021.00;0.6842105263157895;Real Estate Brokers
354810;Supervisor de operações turísticas;Operations Supervisor;2;39-1011.00;0.717948717948718;Gaming Supervisors
354810;Agente de reservas;Booking agent;;;;
354820;Gestor de evento;Event Manager;4;11-2022.00;0.6666666666666666;Sales Managers
354820;Gestor de evento;Event Manager;4;11-9199.07;0.6666666666666666;Security Managers
354820;Gestor de evento;Event Manager;4;19-1031.02;0.6666666666666666;Range Managers
354820;Tecnólogo de evento;Event Technologist;4;29-2011.01;0.7441860465116279;Cytogenetic Technologists
371205;Numismata;coins;;;;
371210;Técnico de arquivo (museologia);Archivist (museology);5;25-4011.00;0.6451612903225806;Archivists
371310;Técnico de artes gráficas;Graphic Arts Technician;3;53-6041.00;0.7142857142857143;Traffic Technicians
371410;Monitor de recreação;Recreation monitor;4;39-9032.00;0.7222222222222222;Recreation Workers
371410;Monitor de esportes e lazer;Sports and leisure monitor;;;;
371410;Monitor infantil;Child Monitor;;;;
371410;Go - gentil organizador;Go - gentle organizer;;;;
371405;Monitor de acantonamento;Alignment Monitor;;;;
371405;Conselheiro em acantonamento;Counselor in cantonment;;;;
371405;Monitor de acampamento;Camp Monitor;;;;
371410;Recreacionista;Recreationist;4;29-1125.00;0.7222222222222222;Recreational Therapists
371410;Monitor de entretenimento;Entertainment Monitor;;;;
373135;Controle mestre;Master control;;;;
373130;Técnico de externas (sistemas audiovisuais);Technician of external (audiovisual systems);;;;
373130;Técnico de captação de som;Sound Recording Technician;3;27-4014.00;0.8;Sound Engineering Technicians
373130;Técnico de transmissor de rádio;Radio transmitter technician;2;51-8099.03;0.6037735849056604;Biomass Plant Technicians
373145;Auxiliar de cinegrafia;Location;;;;
373145;Técnico de externas (operações audiovisuais);Technician of external (audiovisual operations);;;;
373140;Controlador de programação;Programming Controller;3;53-2021.00;0.6666666666666666;Air Traffic Controllers
373130;Operador de externas;Operator of external;;;;
373145;Operador de cabos;Rope operator;3;27-4013.00;0.7142857142857143;Radio Operators
373145;Operador de microfone;Microphone Operator;2;43-2021.00;0.7368421052631579;Telephone Operators
373145;Assistente de câmera externa;External Camera Wizard;;;;
373145;Auxiliar de iluminação;Lighting Assistant;2;31-1014.00;0.7222222222222222;Nursing Assistants
373145;Auxiliar iluminador;Auxiliary illuminator;;;;
373145;Auxiliar de unidade portátil externa;External portable drive auxiliary;;;;
373145;Operador de unidade portátil externa;External portable drive operator;;;;
373130;Operador de videoteipe;Videotepe Operator;2;43-2021.00;0.7027027027027027;Telephone Operators
373130;Técnico de sistema de televisão;Television system technician;4;19-4099.02;0.6229508196721312;Precision Agriculture Technicians
374155;Programador musical;Music programmer;4;15-1131.00;0.6111111111111112;Computer Programmers
374145;Disc jóquei;Disc jockey;;;;
374145;Dee jay;Dee jay;;;;
374145;Discotecário;Disc jockey;;;;
